log_fatality_rate,MedHHInc_10k,Region,State,County,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-3.1693827109847983,5.498,Northeast,DE,Kent,4.2,5.487612485,6.520010602,4.647053627,0.087084927,15.85071877,1.135890349,1.076571631,8.317241553,46.96780382,276.9,69.02781006,13.54,116057,24.88,33.16473802,22.20374471,8.195111023,23.57203788,5.66576289,1.264,7.303,3.639,180786,65.24,4,3,2,0,0,0,1
-3.3111006094422666,6.9562,Northeast,DE,New Castle,3.7,12.16565156,5.538859915,5.321127685,0.034282797,12.93190853,1.601444254,0.556183668,8.022903826,49.4977935,1263.19,68.01991612,12.3,380467,23.23,30.5905637,17.96213601,7.002446993,35.90666208,11.1297653,1.8,0.454,3.259,558753,61.62,0,1,1,0,1,0,0
-3.4795117520368906,5.9821,Northeast,DE,Sussex,3.8,5.397701055,9.888949274,3.961116865,0.061523948,16.22078894,1.096151677,2.03131569,9.785383961,45.68358233,210.61,79.55239747,20.83,163455,20.45,32.84084305,19.01257227,9.402587868,26.46722339,7.145850415,0.562,19.052,-0.688,234225,75.59,5,2,2,0,0,0,1
-4.063885354737392,5.9338,Southeast,AL,Autauga,2.7,6.259326811,6.00232134,6.984745482,0.331619964,11.64815122,1.629083071,0.551318189,12.94561433,43.39661748,91.8,74.89462467,12,37166,26.78,32.60775978,20.32502825,8.066512404,27.68928591,2.018115942,-0.029,0.686,1.315,55869,77.25,0,2,2,0,1,0,1
-4.666068368194688,5.7588,Southeast,AL,Baldwin,2.7,7.398879834,8.269525268,4.925090224,0.371603894,16.80035126,1.369686975,0.956317802,9.119823515,45.7222716,114.65,73.61934319,16.77,146989,22.99,27.60682772,21.95130248,9.360564396,31.34588303,3.445343021,0.714,21.001,0.91,223234,83.5,5,3,2,0,1,1,1
-4.561740628060756,3.4382,Southeast,AL,Barbour,3.8,3.967889908,6.25,6.915137615,0.114678899,13.4059633,0.240825688,4.403669725,23.88761468,33.71559633,31.03,61.39777923,14.24,18173,21.91,35.6903098,18.08727233,7.037913388,12.21592472,2.505624079,0.161,-8.797,-0.867,24686,46.75,3,6,6,1,0,0,0
-4.1307122063929755,4.6064,Southeast,AL,Bibb,3.1,4.580812446,9.013458452,4.88949253,4.086924312,10.86553896,1.308803556,1.901469317,18.70601309,39.37523151,36.81,75.07309942,12.68,15780,22.7,47.34474018,18.61850444,5.754119138,11.48922687,1.442713189,0.525,-2.099,0.017,22394,75.02,0,1,1,0,0,0,0
-4.689051669968793,5.0412,Southeast,AL,Blount,2.7,5.837159187,9.463131266,6.863112527,0.796402136,15.35650707,1.250819826,1.485055748,16.41056872,37.95090415,88.9,78.62621359,14.72,39627,24.61,34.03992228,21.42983319,12.04986499,12.642895,4.359441409,0.207,-0.005,0.79,57826,88.89,0,1,1,0,0,0,0
-3.6216707044204863,2.9267,Southeast,AL,Bullock,3.6,2.30964467,4.923857868,5.203045685,0,7.411167513,0.431472081,5.939086294,33.75634518,33.47715736,17.52,75.53338875,13.46,7104,22.26,39.65371622,16.96227477,5.306869369,13.30236486,0.927357032,0.699,-7.769,0.644,10101,21.92,3,6,6,1,0,0,0
-3.1343493961132163,3.7365,Southeast,AL,Butler,3.6,3.031071655,5.618262524,4.590995561,0.063411541,12.63157895,1.306277743,2.891566265,24.032974,40.34242232,26.96,69.94633274,16.66,13888,24.14,43.85800691,16.89228111,7.740495392,16.09302995,1.373283396,0.697,-5.738,-1.352,19448,54.06,0,6,6,1,0,0,0
-4.20774955719376,4.54,Southeast,AL,Calhoun,3.5,4.352430592,6.036505596,4.611998256,0.15781714,15.06738377,1.526257865,1.0756484,17.63814191,42.36351932,195.71,69.47349721,14.33,79135,22.88,32.41675618,25.87224363,7.795539268,17.96802932,2.657735147,0.471,-3.268,-0.788,113605,73.61,4,3,2,0,0,0,0
-3.2362843882964647,3.9917,Southeast,AL,Chambers,2.9,3.631813878,4.511023942,3.584471798,0.148789395,12.78912485,1.88692006,1.386446639,28.7772217,39.26011092,57.36,67.7641314,16.68,23564,22.51,38.44848073,21.15515193,8.563911051,13.23204889,1.389463726,0.475,-0.999,-1.544,33254,58.14,0,6,5,0,0,0,0
-3.472921562460601,4.2132,Southeast,AL,Cherokee,2.9,1.835798062,7.261601224,7.383987761,0,11.91228965,1.03008669,3.335033146,26.27231005,34.80877104,46.94,78.95530832,17.9,18673,21.42,38.32806726,21.42665881,7.583141434,12.89026937,0.792944726,0,4.634,-3.736,26196,92.07,0,6,6,0,0,0,0
